gene	product	promoter_name	promoter_pos	gene_start_pos	map_start_pos	map_end_pos
murG	N-acetylglucosaminyl transferase	ftsLp1 (Experim. ev.)	90688	91032	99644	100711
murC	UDP-N-acetylmuramate—L-alanine ligase	ftsLp1 (Experim. ev.)	90688	91032	100765	102240
ddlB	D-alanine—D-alanine ligase B	ftsLp1 (Experim. ev.)	90688	91032	102233	103153
ftsQ	cell division protein FtsQ	ftsQp2 (Experim. ev.)	102742	103155	103155	103985
ftsA	cell division protein FtsA	ftsAp1 (Experim. ev.)	103561	103982	103982	105244
ftsZ	cell division protein FtsZ	ftsZp4 (Experim. ev.)	104636	105305	105305	106456
lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxCp1 (No high-quality experim. ev.)	106508	106557	106557	107474
secM	SecA translation regulator				107705	108217
secA	protein translocation ATPase				108279	110984
mutT	8-oxo-dGTP diphosphatase				111044	111433
yacG	DNA gyrase inhibitor YacG				111846	111649
zapD	cell division factor ZapD				112599	111856
coaE	dephospho-CoA kinase				113219	112599
yacM	protein YacM				113244	113288
guaC	GMP reductase				113444	114487
hofC	inner membrane protein HofC				115724	114522
hofB	T2SSE family protein	ppdDp (No high-quality experim. ev.)	117705	117549	117099	115714
ppdD	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	ppdDp (No high-quality experim. ev.)	117705	117549	117549	117109
nadC	quinolinate phosphoribosyltransferase (decarboxylating)	nadCp (Experim. ev.)	118663	118645	118645	117752
ampD	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	ampDp5 (No high-quality experim. ev.)	118681	118733	118733	119284
ampE	protein AmpE				119281	120135
aroP	aromatic amino acid:H+symporter AroP	aroPp1 (Experim. ev.)	121671	121551	121551	120178
pdhR	DNA-binding transcriptional dual regulator PdhR	pdhRp (Experim. ev.)	122034	122092	122092	122856
aceE	pyruvate dehydrogenase	aceEp (Experim. ev.)	122969	123017	123017	125680
aceF	pyruvate dehydrogenase, E2 subunit	aceEp (Experim. ev.)	122969	123017	125695	127587
lpd	lipoamide dehydrogenase	lpdAp (Experim. ev.)	127717	127912	127912	129336
yacH	DUF3300 domain-containing protein YacH	yacHp5 (No high-quality experim. ev.)	131466	131260	131260	129407
acnB	bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase	acnBp (Experim. ev.)	131519	131615	131615	134212
yacL	UPF0231 family protein YacL	yacLp (Experim. ev.)	134339	134388	134388	134750
speD	S-adenosylmethionine decarboxylase proenzyme	speDp (Experim. ev.)	135717	135582	135582	134788
speE	spermidine synthase	speEp (Experim. ev.)	136504	136464	136464	135598
yacC	putative lipoprotein YacC	yacCp (Experim. ev.)	136940	136917	136917	136570
cueO	multicopper oxidase CueO	cueOp (No high-quality experim. ev.)	137045	137083	137083	138633
gcd	quinoprotein glucose dehydrogenase	gcdp2 (Experim. ev.)	141279	141225	141225	138835
hpt	hypoxanthine phosphoribosyltransferase	hptp (Experim. ev.)	141360	141431	141431	141967
can	carbonic anhydrase 2	canp (Experim. ev.)	142703	142670	142670	142008
yadG	putative ABC transporter ATP-binding protein YadG				142779	143705
yadH	putative ABC transporter membrane subunit YadH				143702	144472
yadI	putative PTS enzyme IIA component YadI				144577	145017
yadE	putative polysaccharide deacetylase lipoprotein YadE	yadEp3 (No high-quality experim. ev.)	144965	145081	145081	146310
panD	aspartate 1-decarboxylase proenzyme	panDp2 (Experim. ev.)	146754	146694	146694	146314
rpnC	recombination-promoting nuclease RpnC	yadDp3 (No high-quality experim. ev.)	146898	146968	146968	147870
panC	pantothenate synthetase	panCp2 (No high-quality experim. ev.)	148920	148795	148795	147944
panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	panBp (No high-quality experim. ev.)	149630	149601	149601	148807
yadC	fimbrial tip-adhesin YadC				150953	149715
yadK	putative fimbrial protein YadK				151599	151003
yadL	putative fimbrial protein YadL				152231	151626
yadM	putative fimbrial protein YadM				152812	152243
htrE	putative fimbrial usher protein HtrE	htrEp1 (No high-quality experim. ev.)	155518	155426	155426	152829
yadV	putative fimbrial chaperone YadV	yadVp1 (Experim. ev.)	156235	156201	156201	155461
yadN	putative fimbrial protein YadN	yadNp7 (No high-quality experim. ev.)	157055	156883	156883	156299
folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	pcnBp4 (Experim. ev.)	159391	159126	157732	157253
pcnB	poly(A) polymerase I	pcnBp4 (Experim. ev.)	159391	159126	159126	157729
gluQ	glutamyl-Q tRNAAspsynthetase				160112	159186
dksA						
sfsA	putative DNA-binding transcriptional regulator of maltose metabolism	sfsAp (No high-quality experim. ev.)	161515	161486	161486	160782
thpR	RNA 2',3'-cyclic phosphodiesterase				162031	161501
hrpB	putative ATP-dependent RNA helicase HrpB	hrpBp2 (No high-quality experim. ev.)	162075	162105	162105	164534
mrcB	PBP1Bγ	mrcBp (Experim. ev.)	164721	164730	164730	167264
fhuA	ferrichrome outer membrane transporter/phage receptor	fhuAp (No high-quality experim. ev.)	167442	167484	167484	169727
fhuC	iron(III) hydroxamate ABC transporter ATP binding subunit	fhuAp (No high-quality experim. ev.)	167442	167484	169778	170575
fhuD	iron(III) hydroxamate ABC transporter periplasmic binding protein	fhuAp (No high-quality experim. ev.)	167442	167484	170575	171465
fhuB	iron(III) hydroxamate ABC transporter membrane subunit	fhuAp (No high-quality experim. ev.)	167442	167484	171462	173444
hemL	glutamate-1-semialdehyde aminotransferase	hemLp2 (No high-quality experim. ev.)	174941	174882	174882	173602
clcA	chloride:H+antiporter ClcA	clcAp10 (No high-quality experim. ev.)	175052	175107	175107	176528
yadW	protein YadW				176552	176617
erpA	iron-sulfur cluster insertion protein ErpA	erpAp (Experim. ev.)	176561	176610	176610	176954
yadS	PF03458 family protein YadS				177624	177001
btuF	vitamin B12ABC transporter periplasmic binding protein	mtnp (Experim. ev.)	179183	179153	178462	177662
mtn	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtnp (Experim. ev.)	179183	179153	179153	178455
dgt	dGTP triphosphohydrolase	dgtp1 (Experim. ev.)	179196	179237	179237	180754
degP	periplasmic serine endoprotease DegP	degPp (Experim. ev.)	180845	180884	180884	182308
cdaR	DNA-binding transcriptional activator CdaR	cdaRp (Experim. ev.)	182447	182463	182463	183620
yaeH	DUF3461 domain-containing protein YaeH				184095	183709
yaeI	phosphodiesterase YaeI				185069	184257
dapD	tetrahydrodipicolinate succinylase	dapDp (Experim. ev.)	185977	185947	185947	185123
glnD	PII uridylyltransferase / uridylyl removing enzyme	glnDp (Experim. ev.)	188655	188650	188650	185978
map	methionine aminopeptidase				189506	188712
tff	putative small RNA T44	rpsBp (Experim. ev.)	189712	189712	189712	189847
rpsB	30S ribosomal subunit protein S2	rpsBp (Experim. ev.)	189712	189712	189874	190599
tsf	protein chain elongation factor EF-Ts	rpsBp (Experim. ev.)	189712	189712	190857	191708
pyrH	UMP kinase	pyrHp (Experim. ev.)	191812	191855	191855	192580
frr	ribosome-recycling factor	frrp3 (No high-quality experim. ev.)	192812	192872	192872	193429
dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxrp3 (No high-quality experim. ev.)	193335	193521	193521	194717
ispU->uppS	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	ispUp1 (Experim. ev.)	194784	194903	194903	195664
cdsA	CDP-diglyceride synthetase	cdsAp3 (No high-quality experim. ev.)	195555	195677	195677	196534
rseP	intramembrane zinc metalloprotease RseP	rsePp (Experim. ev.)	196470	196546	196546	197898
bamA	outer membrane protein assembly factor BamA	bamAp2 (Experim. ev.)	197026	197928	197928	200360
skp	periplasmic chaperone Skp	hlpAp (Experim. ev.)	200455	200482	200482	200967
lpxD	UDP-3-O-(3-hydroxymyristoyl)glucosamineN-acyltransferase	lpxDp (Experim. ev.)	200960	200971	200971	201996
fabZ	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	lpxDp (Experim. ev.)	200960	200971	202101	202556
lpxA	acyl-[acyl-carrier-protein]—UDP-N-acetylglucosamineO-acyltransferase	lpxDp (Experim. ev.)	200960	200971	202560	203348
lpxB	lipid A disaccharide synthase	lpxDp (Experim. ev.)	200960	200971	203348	204496
rnhB	RNase HII	lpxDp (Experim. ev.)	200960	200971	204493	205089
dnaE	DNA polymerase III subunit α	lpxDp (Experim. ev.)	200960	200971	205126	208608
accA	acetyl-CoA carboxyltransferase subunit α	accAp2 (Experim. ev.)	208326	208621	208621	209580
ldcC	lysine decarboxylase 2				209679	211820
yaeR	VOC domain-containing protein YaeR	yaeRp3 (No high-quality experim. ev.)	211858	211877	211877	212266
tilS	tRNAIle-lysidine synthetase				212331	213629
rof	modulator of Rho-dependent transcription termination	yaePp (Experim. ev.)	214187	214125	213932	213678
yaeP	UPF0253 family protein YaeP	yaePp (Experim. ev.)	214187	214125	214125	213925
yaeQ	uncharacterized protein YaeQ	yaeQp3 (No high-quality experim. ev.)	214088	214291	214291	214836
arfB	peptidyl-tRNA hydrolase, ribosome rescue factor	yaeQp3 (No high-quality experim. ev.)	214088	214291	214833	215255
nlpE	sensor lipoprotein NlpE	yaeQp3 (No high-quality experim. ev.)	214088	214291	215269	215979
yaeF	peptidase C92 family protein YaeF				217003	216179
proS	proline—tRNA ligase	proSp (Experim. ev.)	218837	218775	218775	217057
trmO	tRNA m6t6A37 methyltransferase				219594	218887
rcsF	sensor lipoprotein RcsF				219995	219591
metQ	L-methionine/D-methionine ABC transporter membrane anchored binding protein	metNp (No high-quality experim. ev.)	222714	222645	220928	220113
metI	L-methionine/D-methionine ABC transporter membrane subunit	metNp (No high-quality experim. ev.)	222714	222645	221621	220968
metN	L-methionine/D-methionine ABC transporter ATP binding subunit	metNp (No high-quality experim. ev.)	222714	222645	222645	221614
gmhB	D-glycero-β-D-manno-heptose-1,7-bisphosphate 7-phosphatase	gmhBp (Experim. ev.)	222806	222833	222833	223408
rrsH	16S ribosomal RNA	rrsHp1 (Experim. ev.)	223485	223771	223771	225312
ileV	tRNA-Ile(GAU)				225381	225457
alaV	tRNA-Ala(UGC)	rrsHp1 (Experim. ev.)	223485	223771	225500	225575
rrlH	23S ribosomal RNA	rrsHp1 (Experim. ev.)	223485	223771	225759	228662
rrfH	5S ribosomal RNA	rrsHp1 (Experim. ev.)	223485	223771	228756	228875
aspU	tRNA-Asp(GUC)				228928	229004
dkgB	methylglyoxal reductase DkgB	dkgBp (No high-quality experim. ev.)	229098	229167	229167	229970
yafC	LysR family transcriptional regulator YafC	yafCp6 (No high-quality experim. ev.)	231083	230881	230881	229967
yafD	endonuclease/exonuclease/phosphatase domain-containing protein YafD	yafDp (Experim. ev.)	231064	231122	231122	231922
yafE	putative S-adenosylmethionine-dependent methyltransferase	yafDp (Experim. ev.)	231064	231122	231926	232549
mltD	membrane-bound lytic murein transglycosylase D	mltDp3 (No high-quality experim. ev.)	234025	233955	233955	232597
gloB	hydroxyacylglutathione hydrolase GloB	gloBp5 (No high-quality experim. ev.)	234926	234782	234782	234027
yafS	putative S-adenosyl-L-methionine-dependent methyltransferase	yafSp2 (No high-quality experim. ev.)	234784	234816	234816	235538
rnhA	ribonuclease HI	rnhAp (Experim. ev.)	236041	236002	236002	235535
dnaQ	DNA polymerase III subunit ε	dnaQp1 (Experim. ev.)	235934	236067	236067	236798
aspV	tRNA-Asp(GUC)	aspVp (No high-quality experim. ev.)	236913	236931	236931	237007
yafT	lipoprotein YafT				237335	238120
ykfM	uncharacterized protein YkfM				238736	238257
yafU	putative inner membrane protein				239084	238746
yafF	putative uncharacterized protein YafF				239190	239378
yafV	2-oxoglutaramate amidase	yafVp (Experim. ev.)	240216	240189	240189	239419
ivy	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme	ivyp4 (No high-quality experim. ev.)	240319	240343	240343	240816
fadE	acyl-CoA dehydrogenase	fadEp (No high-quality experim. ev.)	243406	243303	243303	240859
lpcA->gmhA	D-sedoheptulose 7-phosphate isomerase	lpcAp1 (No high-quality experim. ev.)	243468	243543	243543	244121
yafJ	putative glutamine amidotransferase YafJ				244327	245094
yafK->ldtF	L,D-transpeptidase domain-containing protein LdtF	yafKp6 (No high-quality experim. ev.)	245993	245805	245805	245065
yafQ	ribosome-dependent mRNA interferase toxin YafQ	dinJp (No high-quality experim. ev.)	246615	246502	246239	245961
dinJ	antitoxin/DNA-binding transcriptional repressor DinJ	dinJp (No high-quality experim. ev.)	246615	246502	246502	246242
yafL	NlpC/P60 family protein YafL	yafLp6 (No high-quality experim. ev.)	246641	246712	246712	247461
rayT	REP-associated tyrosine transposase	rayTp1 (No high-quality experim. ev.)	247544	247637	247637	248134
lfhA	flagellar system protein, promoterless fragment				250070	248358
lafU	flagellar system protein, promoterless fragment				250072	250827
dinB	DNA polymerase IV	dinBp (No high-quality experim. ev.)	250880	250898	250898	251953
yafN	antitoxin YafN				252005	252298
yafO	ribosome-dependent mRNA interferase toxin YafO				252301	252699
yafP	putative acyltransferase with acyl-CoA N-acyltransferase domain	yafNp (Experim. ev.)	251969	252005	252709	253161
ykfJ	RNA ligase superfamily protein YkfJ				253467	253733
prfH	putative peptide chain release factor				253702	254202
pepD	peptidase D	pepDp1 (Experim. ev.)	255809	255716	255716	254259
gpt	xanthine-guanine phosphoribosyltransferase	gptp (No high-quality experim. ev.)	255914	255977	255977	256435
frsA	fermentation-respiration switch protein	frsAp (No high-quality experim. ev.)	256502	256527	256527	257771
insB9	IS1 transposase B				258426	257923
crl						
phoE	outer membrane porin PhoE	phoEp (Experim. ev.)	260158	260100	260100	259045
proB	glutamate 5-kinase	proBp8 (No high-quality experim. ev.)	260216	260388	260388	261491
proA	glutamate-5-semialdehyde dehydrogenase	proBp8 (No high-quality experim. ev.)	260216	260388	261503	262756
thrW	tRNA-Thr(CGU)	thrWp (No high-quality experim. ev.)	262841	262871	262871	262946
ykfN	YdiA family protein				263212	263150
ykfI	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system				263669	263328
yafW	antitoxin of the YkfI-YafW toxin-antitoxin pair				264007	263690
ykfH	DUF987 domain-containing protein YkfH				264247	264026
ykfG	CP4-6 prophage; RadC-like JAB domain-containing protein YkfG	ykfBp2 (No high-quality experim. ev.)	266227	266087	264732	264256
yafX	CP4-6 prophage; protein YafX				265206	264748
ykfF	CP4-6 prophage; protein YkfF				265543	265304
ykfB	CP4-6 prophage; protein YkfB	ykfBp2 (No high-quality experim. ev.)	266227	266087	266087	265620
yafY	CP4-6 prophage; inner membrane lipoprotein YafY				266553	266110
ykfL					266774	266553
ykfK					266967	266776
yafZ	CP4-6 prophage; DUF932 domain-containing protein YafZ				268005	267184
ykfA	CP4-6 prophage; putative GTP-binding protein YkfA				268960	268097
perR	putative transcriptional regulator PerR				270182	269289
insN						
eyeA	CP4-6 prophage; small RNA EyeA				272580	272654
ykfC	CP4-6 prophage; PF00078 domain-containing protein YkfC				272847	273992
insH-1	CP4-6 prophage; IS5 transposase and trans-activator	insHp5 (No high-quality experim. ev.)	275298	275117	275117	274101
mmuP	S-methyl-L-methionine transporter				275325	276728
mmuM	homocysteineS-methyltransferase				276715	277647
afuC	CP4-6 prophage; ABC transporter ATP-binding protein AfuC				278802	277756
afuB	CP4-6 prophage; ABC transporter membrane protein AfuB				279162	278814
insB-2	IS1 protein InsB				279681	279178
insA-2	IS1 protein InsA				279875	279600
insI2					279931	280104
insX					280362	280114
yagB	CP4-6 prophage; orphan antitoxin YagB				280735	280385
yagA	CP4-6 prophage; integrase core domain-containing protein YagA				281983	280829
yagE	CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase				282278	283186
yagF	CP4-6 prophage; D-xylonate dehydratase	yagEp3 (No high-quality experim. ev.)	282223	282278	283201	285168
yagG	putative D-xylonate transporter YagG				285395	286777
yagH	CP4-6 prophage; putative xylosidase/arabinosidase				286789	288399
xynR	CP4-6 prophage; DNA-binding transcriptional repressor XynR	yagIp1 (No high-quality experim. ev.)	289192	289162	289162	288404
argF	ornithine carbamoyltransferase	argFp (Experim. ev.)	290340	290305	290305	289301
ykgS	CP4-6 prophage; protein YkgS				290510	290638
insB-3	IS1 protein InsB				291152	290649
insA-3	IS1 protein InsA				291346	291071
yagJ	CP4-6 prophage; protein YagJ				291500	292231
yagK	CP4-6 prophage; uncharacterized protein YagK				292948	292322
yagL	CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL	yagLp7 (No high-quality experim. ev.)	294031	293918	293918	293220
yagM	CP4-6 prophage; protein YagM				294799	293945
ykgV	protein YkgV	yagNp4 (No high-quality experim. ev.)	295671	295579	295142	294918
yagN	CP4-6 prophage; protein YagN				295579	295139
intF	CP4-6 prophage; putative phage integrase				297096	295696
yagP	putative LysR family substrate binding domain-containing protein YagP				297791	297381
paoD	molybdenum cofactor insertion chaperone PaoD				298726	297770
paoC	aldehyde dehydrogenase: molybdenum cofactor-binding subunit				300934	298736
paoB	aldehyde dehydrogenase, FAD-binding subunit				301887	300931
paoA	aldehyde dehydrogenase, Fe-S subunit				302573	301884
yagU	inner membrane protein that contributes to acid resistance				302991	303605
ykgJ	putative zinc- or iron-chelating domain-containing protein YkgJ	ykgJp3 (No high-quality experim. ev.)	304262	304182	304182	303853
ecpE	putative fimbrial chaperone EcpE	matCp1 (Experim. ev.)	310119	310026	305205	304495
ecpD	fimbrial adhesin EcpD	matCp1 (Experim. ev.)	310119	310026	306817	305174
ecpC	putative fimbrial usher protein EcpC	matCp1 (Experim. ev.)	310119	310026	309332	306807
ecpB	putative fimbrial chaperone EcpB	matCp1 (Experim. ev.)	310119	310026	310026	309358
ecpA	common pilus major subunit	matBp5 (No high-quality experim. ev.)	310797	310671	310671	310084
ecpR						
ykgL	uncharacterized protein YkgL	ykgLp1 (No high-quality experim. ev.)	311939	312112	312112	312339
ykgO	putative ribosomal protein	ykgMp (No high-quality experim. ev.)	312805	312777	312514	312374
ykgM	putative ribosomal protein				312777	312514
ykgR	uncharacterized membrane protein YkgR				313242	313141
ykgP	putative oxidoreductase				313805	313716
eaeH	putative porin domain-containing protein EaeH				314357	315244
insE-1	IS3 element protein InsE				315291	315590
insF-1	IS3 element protein InsF				315587	316453
ykgA	putative DNA-binding transcriptional regulator YkgA				317136	316450
ykgQ					317439	317567
rclC	reactive chlorine species resistance protein C	ykgBp9 (No high-quality experim. ev.)	318525	318319	318319	317726
rclB	DUF1471 domain-containing protein RclB	ykgCp1 (No high-quality experim. ev.)	320215	320001	318567	318331
rclA	putative pyridine nucleotide-disulfide oxidoreductase RclA				320001	318676
rclR	DNA-binding transcriptional activator RclR	ykgDp3 (No high-quality experim. ev.)	320116	320227	320227	321081
ykgE	putative lactate utilization oxidoreductase YkgE	ykgEp9 (No high-quality experim. ev.)	321481	321608	321608	322327
ykgF	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	ykgEp9 (No high-quality experim. ev.)	321481	321608	322338	323765
ykgG	DUF162 domain-containing lactate utilization protein YkgG	ykgEp9 (No high-quality experim. ev.)	321481	321608	323758	324453
ykgH	uncharacterized protein YkgH				325364	324696
betA	choline dehydrogenase	betAp5 (No high-quality experim. ev.)	327261	327247	327247	325577
betB	betaine aldehyde dehydrogenase	betIp (Experim. ev.)	329361	329334	328733	327261
betI	DNA-binding transcriptional repressor BetI	betIp (Experim. ev.)	329361	329334	329334	328747
betT	choline:H+symporter	betTp (Experim. ev.)	329421	329463	329463	331496
yahV	protein YahV				331802	331876
pdeL	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL	pdeLp2 (Experim. ev.)	331873	332371	332371	333459
yahB	putative LysR-type DNA-binding transcriptional regulator YahB				334433	333501
